"filename", "language", "Java Properties", "Java", "XML", "Batch", "comment", "blank", "total"
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 3, 0, 0, 0, 16, 1, 20
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\mvnw.cmd", "Batch", 0, 0, 0, 108, 26, 16, 150
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\pom.xml", "XML", 0, 0, 78, 0, 10, 19, 107
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\AgvacinacaoApplication.java", "Java", 0, 9, 0, 0, 0, 5, 14
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\config\CorsConfig.java", "Java", 0, 21, 0, 0, 0, 6, 27
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\config\JwtFilter.java", "Java", 0, 50, 0, 0, 1, 17, 68
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\config\JwtUtil.java", "Java", 0, 32, 0, 0, 0, 9, 41
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\config\SecurityConfig.java", "Java", 0, 49, 0, 0, 0, 9, 58
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\config\UsuarioDetalhesService.java", "Java", 0, 23, 0, 0, 0, 7, 30
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\AgendamentoController.java", "Java", 0, 63, 0, 0, 0, 16, 79
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\AuthController.java", "Java", 0, 41, 0, 0, 4, 13, 58
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\DoencaController.java", "Java", 0, 28, 0, 0, 0, 9, 37
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\PacienteController.java", "Java", 0, 52, 0, 0, 2, 14, 68
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\UsuarioController.java", "Java", 0, 75, 0, 0, 3, 21, 99
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\controller\VacinaController.java", "Java", 0, 41, 0, 0, 0, 12, 53
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\AgendamentoDTO.java", "Java", 0, 99, 0, 0, 1, 31, 131
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\DoencaDTO.java", "Java", 0, 68, 0, 0, 1, 28, 97
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\LoginDTO.java", "Java", 0, 17, 0, 0, 1, 3, 21
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\LoginRequest.java", "Java", 0, 17, 0, 0, 1, 6, 24
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\LoginResponse.java", "Java", 0, 37, 0, 0, 1, 12, 50
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\PacienteDTO.java", "Java", 0, 94, 0, 0, 3, 12, 109
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\UsuarioDTO.java", "Java", 0, 48, 0, 0, 1, 16, 65
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\dto\VacinaDTO.java", "Java", 0, 55, 0, 0, 3, 8, 66
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Agendamento.java", "Java", 0, 70, 0, 0, 1, 25, 96
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Doenca.java", "Java", 0, 70, 0, 0, 2, 26, 98
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Paciente.java", "Java", 0, 83, 0, 0, 1, 30, 114
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\StatusAgendamento.java", "Java", 0, 6, 0, 0, 0, 2, 8
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\TipoUsuario.java", "Java", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Usuario.java", "Java", 0, 46, 0, 0, 1, 20, 67
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\model\Vacina.java", "Java", 0, 52, 0, 0, 1, 7, 60
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\AgendamentoRepository.java", "Java", 0, 22, 0, 0, 0, 8, 30
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\DoencaRepository.java", "Java", 0, 5, 0, 0, 0, 3, 8
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\PacienteRepository.java", "Java", 0, 9, 0, 0, 0, 5, 14
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\UsuarioRepository.java", "Java", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\repository\VacinaRepository.java", "Java", 0, 5, 0, 0, 0, 4, 9
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\AgendamentoService.java", "Java", 0, 108, 0, 0, 9, 33, 150
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\AuthService.java", "Java", 0, 21, 0, 0, 2, 9, 32
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\DoencaService.java", "Java", 0, 40, 0, 0, 0, 12, 52
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\PacienteService.java", "Java", 0, 72, 0, 0, 9, 18, 99
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\UsuarioService.java", "Java", 0, 74, 0, 0, 10, 22, 106
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\java\com\vacinacao\agvacinacao\service\VacinaService.java", "Java", 0, 62, 0, 0, 6, 15, 83
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\main\resources\application.properties", "Java Properties", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Documents\Trabalho final - Vacina\agvacinacao\src\test\java\com\vacinacao\agvacinacao\AgvacinacaoApplicationTests.java", "Java", 0, 9, 0, 0, 0, 5, 14
"Total", "-", 10, 1684, 78, 108, 116, 543, 2539